98,29/05/1971,1970s,21:00,Palos Verde (northeast of),CA,USA,33.74533812,-118.3876001,Sphere,"There seemed to be no dissipation of the glow coming from the sphere. It surrounded it, stretched in one direction and stopped!?",N,https://nuforc.org/sighting/?id=29623
99,16/06/1971,1970s,13:48,Poughkeepsie,NY,USA,41.70560303,-73.92897092,Disk,"Approximately at 15:00 my friend spotted object in sky. He said to me ""hey there is one of those UFO's they talk about"". I thought he",N,https://nuforc.org/sighting/?id=68697
100,05/07/1971,1970s,00:00,Tehran,Tehran Province,Iran,35.73199036,51.33047635,Disk,"At age 12, I witnessed a large disk-shaped UFO with a dome on top, featuring revolving red, green, blue, orange, and yellow lights.",N,https://nuforc.org/sighting/?id=188801
101,09/07/1971,1970s,00:00,Tehran,Tehran Province,Iran,35.73199036,51.33047635,Disk,"“Saw a large, dome-shaped UFO with revolving colored lights. It moved instantly, defied gravity, and appeared in front of me",N,https://nuforc.org/sighting/?id=188852
102,17/07/1971,1970s,03:00,Whitman,MA,USA,42.08075187,-70.9358654,Sphere,30’ Diameter orange spear about 100’ above the tree line,N,https://nuforc.org/sighting/?id=183966
103,13/10/1971,1970s,22:00,Bloemfontein,Free State,South Africa,-29.11330798,26.21565714,Orb,Giant white orb appears to hover over rural Farmhouse in 1970's,N,https://nuforc.org/sighting/?id=184975
104,29/10/1971,1970s,20:57,Bard,CA,USA,32.78986017,-114.5547315,Sphere,"Green sphere appeared in the distance over Yuma,Az. grew to large green sphere as it neared and was very big above vehicle",N,https://nuforc.org/sighting/?id=189514
105,02/01/1972,1970s,21:00,Kinshasa,Kinshasa,Democratic Republic of the Congo,-4.30407678,15.30729137,Orb,"Thought it was a shooting star, until it kept coming down and instead of splashing into the river, just stopped and performed maneuvers",N,https://nuforc.org/sighting/?id=183324
106,09/05/1972,1970s,02:00,White Bear Lake,MN,USA,45.07327582,-92.98699834,Cylinder,Woke from sleep and saw an illuminated craft hovering low on the front lawn.,N,https://nuforc.org/sighting/?id=177984
107,25/05/1972,1970s,15:33,Dehradun,Uttarakhand,India,30.32006825,78.03223747,Disk,A huge flat silvery white object flew a few feet above me in full speed towards Mussoorie a hill station ahead of Dehradun.,N,https://nuforc.org/sighting/?id=177375
108,15/06/1972,1970s,08:30,Torrington,CT,USA,41.80089871,-73.12322471,Disk,Close-up sighting of a flying saucer.,N,https://nuforc.org/sighting/?id=146059
109,26/06/1972,1970s,10:00,Fort Beaufort (South Africa),[UNSPECIFIED],South Africa,-32.78584167,26.54991701,Egg,Police officers fire shots at UFO in South Africa,N,https://nuforc.org/sighting/?id=46868
110,12/07/1972,1970s,12:00,Huntington,VT,USA,44.32549294,-72.98885769,Disk,Three disk like objects over Camels Hump in Huntington Vermont in summer of 1972,N,https://nuforc.org/sighting/?id=172228
111,15/07/1972,1970s,20:45,Dumas,AR,USA,33.88347266,-91.48372814,Triangle,Triangular object red lights at apexes white light at center,N,https://nuforc.org/sighting/?id=193641
112,25/07/1972,1970s,10:00,Lakewood,NJ,USA,40.0866668,-74.2159787,Oval,Craft was at treetop height and approached us to within 50 feet away.,Y,https://nuforc.org/sighting/?id=188590
113,04/08/1972,1970s,00:01,Tehran,Tehran Province,Iran,35.73199036,51.33047635,Disk,"Large dome-shaped UFO with revolving lights appeared instantly, defied gravity, and moved effortlessly in all directions.",N,https://nuforc.org/sighting/?id=188428
114,12/08/1972,1970s,15:00,Somers,MT,USA,48.08052408,-114.22506,Triangle,Silent craft entered Somers Bay from the South and hovered about 200 ft above the center of the bay for ~ 3 minutes before departing.,N,https://nuforc.org/sighting/?id=180807
115,17/08/1972,1970s,23:00,Evanston,IL,USA,42.05683948,-87.68734766,Circle,"90 ft saucer, grey with white spinning lights underneath",N,https://nuforc.org/sighting/?id=165820
116,25/08/1972,1970s,01:04,Rolling Meadows,IL,USA,42.08302469,-88.02973258,Disk,Silver object hovering around radio tower.,N,https://nuforc.org/sighting/?id=175816
117,20/09/1972,1970s,17:00,Royston,GA,USA,34.28699755,-83.11010858,Cigar,Very intense encounter,N,https://nuforc.org/sighting/?id=192790
118,21/10/1972,1970s,19:00,San Francisco,CA,USA,37.77463341,-122.4175338,Teardrop,Close encounter,N,https://nuforc.org/sighting/?id=191331
119,28/11/1972,1970s,04:30,New Orleans,LA,USA,29.95108373,-90.07964434,Oval,Saw a large oval silver craft with bright lights in the trees so we stopped,N,https://nuforc.org/sighting/?id=176165
120,05/05/1973,1970s,11:30,Long Branch,NJ,USA,40.29607592,-74.02876934,Oval,Large silver-gray object hovering over ground as seen from small aircraft,N,https://nuforc.org/sighting/?id=177639
121,22/05/1973,1970s,23:00,"Atlantic Ocean (USCG Cutter ""Spencer"")",[UNSPECIFIED],[UNSPECIFIED],40.68729592,-74.01342396,[UNSPECIFIED],UFO sighting aboard Coast Guard Cutter Spencer,N,https://nuforc.org/sighting/?id=76914
122,15/06/1973,1970s,14:00,Madison,CT,USA,41.27940035,-72.59821274,Disk,Grey overcast sky with a shard of sunlight breaking thru & hitting the top of a motionless object. After a minute it flys directly away,N,https://nuforc.org/sighting/?id=179746
123,28/06/1973,1970s,15:00,Franklin,KY,USA,36.71925047,-86.57891782,Disk,"I was aged 7 or 8, heard a faint static noise approach from row of trees and saw a silver disc emerge, hovered @ 10 ft. above railroad.",Y,https://nuforc.org/sighting/?id=181851
124,01/07/1973,1970s,06:45,Watts,OK,USA,36.10924984,-94.5702421,CIrcle,Object sat stationary above trees and below clouds,N,https://nuforc.org/sighting/?id=199087
125,21/07/1973,1970s,14:00,Buffalo Gap,SD,USA,43.49167887,-103.31309,Disk,Right over our heads.,N,https://nuforc.org/sighting/?id=180358
126,11/08/1973,1970s,03:00,Fayetteville,NC,USA,35.05239022,-78.87864595,Disk,"Saw a UFO outside of house hovering over my head and exited so fast, looked t like a streak of lightning.",N,https://nuforc.org/sighting/?id=175153
127,19/08/1973,1970s,01:00,Loveland,CO,USA,40.39630701,-105.0753971,Circle,Traveling back from Pueblo Colorado to Fort Collins Colorado at early hours (1am) sighted UFO hovering over a power pole w/ transformer,N,https://nuforc.org/sighting/?id=196850
128,01/10/1973,1970s,23:00,Sigel,IL,USA,39.22608615,-88.49417163,Oval,Oval light appeared and followed alongside a driver in a car.,Y,https://nuforc.org/sighting/?id=179507
129,10/10/1973,1970s,21:00,Saltsburg,PA,USA,40.48648657,-79.45155505,Chevron,V shaped black craft with four brilliant gold lights equally spaced underneath. Lights illuminated car and field. Silent.,N,https://nuforc.org/sighting/?id=195091
130,24/10/1973,1970s,00:00,Jacksonville Beach,FL,USA,30.2848637,-81.39624191,Changing,You may be surprised that I am reporting this after 30 years. I remember the date clearly as I told myself I would never forget. I have,N,https://nuforc.org/sighting/?id=34726
131,09/11/1973,1970s,20:00,Fallbrook,CA,USA,33.37654335,-117.2516669,Circle,It had an elongated greenish-blue (or turquois) contrail streaming behind,N,https://nuforc.org/sighting/?id=179117
132,05/04/1974,1970s,07:00,Kansas City,MO,USA,39.09829707,-94.59340903,Oval,UFO Close Encounter Visual Up Close and Followed at walking speed,N,https://nuforc.org/sighting/?id=197461
133,07/04/1974,1970s,18:00,Clarkston,GA,USA,33.8096474,-84.23969279,Oval,Floating large oval craft in Clarkston GA around 1974-76 approximately,N,https://nuforc.org/sighting/?id=180667
134,10/04/1974,1970s,07:10,Hallsville,OH,USA,39.44451479,-82.8253158,Sphere,Lighted sphere observed hovering in morning sky.,N,https://nuforc.org/sighting/?id=43303
135,01/06/1974,1970s,13:37,Ridgecrest,CA,USA,35.62048192,-117.6725335,Other,"I saw 2 UFOs, one looked like a jet but flew muich faster, the second looked like a rusty ""Borg ship""",N,https://nuforc.org/sighting/?id=182258
136,28/06/1974,1970s,22:30,Los Angeles,CA,USA,34.0564552,-118.2579761,Disk,Typical flying saucer all lit up with windows around hovering just above a lawn on the corner,N,https://nuforc.org/sighting/?id=198061
